Setting,Hit@10,MRR,Hits
Full pipeline,0.3333333333333333,0.1994047619047619,4/12
No implicit expansion,0.3333333333333333,0.1994047619047619,4/12
No time filter,0.3333333333333333,0.1994047619047619,4/12
No reranker,0.08333333333333333,0.08333333333333333,1/12
